Vehicle,PaymentYear,TotalPayment
Polestar 2 Single MotorAutomatic (A1),1,650.0
Polestar 2 Single MotorAutomatic (A1),2,1300.0
Polestar 2 Single MotorAutomatic (A1),3,1950.0
Polestar 2 Single MotorAutomatic (A1),4,2600.0
Polestar 2 Single MotorAutomatic (A1),5,3250.0
Polestar 2 Single MotorAutomatic (A1),6,3900.0
Polestar 2 Single MotorAutomatic (A1),7,4550.0
Polestar 2 Single MotorAutomatic (A1),8,5200.0
Polestar 2 Single MotorAutomatic (A1),9,5850.0
Polestar 2 Single MotorAutomatic (A1),10,6500.0
Polestar 2 Single MotorAutomatic (A1),11,7150.0
Polestar 2 Single MotorAutomatic (A1),12,7800.0
Kia EV6 AWD (Long Range)Automatic (A1),1,650.0
Kia EV6 AWD (Long Range)Automatic (A1),2,1300.0
Kia EV6 AWD (Long Range)Automatic (A1),3,1950.0
Kia EV6 AWD (Long Range)Automatic (A1),4,2600.0
Kia EV6 AWD (Long Range)Automatic (A1),5,3250.0
Kia EV6 AWD (Long Range)Automatic (A1),6,3900.0
Kia EV6 AWD (Long Range)Automatic (A1),7,4550.0
Kia EV6 AWD (Long Range)Automatic (A1),8,5200.0
Kia EV6 AWD (Long Range)Automatic (A1),9,5850.0
Kia EV6 AWD (Long Range)Automatic (A1),10,6500.0
Kia EV6 AWD (Long Range)Automatic (A1),11,7150.0
Kia EV6 AWD (Long Range)Automatic (A1),12,7800.0
Nissan Leaf SV/SL (62 kW-hr battery pack)Automatic (A1),1,8180.0
Nissan Leaf SV/SL (62 kW-hr battery pack)Automatic (A1),2,16360.0
Nissan Leaf SV/SL (62 kW-hr battery pack)Automatic (A1),3,24540.0
Nissan Leaf SV/SL (62 kW-hr battery pack)Automatic (A1),4,32720.0
Nissan Leaf SV/SL (62 kW-hr battery pack)Automatic (A1),5,40900.0
Nissan Leaf SV/SL (62 kW-hr battery pack)Automatic (A1),6,41600.0
Nissan Leaf SV/SL (62 kW-hr battery pack)Automatic (A1),7,42300.0
Nissan Leaf SV/SL (62 kW-hr battery pack)Automatic (A1),8,43000.0
Nissan Leaf SV/SL (62 kW-hr battery pack)Automatic (A1),9,43700.0
Nissan Leaf SV/SL (62 kW-hr battery pack)Automatic (A1),10,44400.0
Nissan Leaf SV/SL (62 kW-hr battery pack)Automatic (A1),11,45100.0
Nissan Leaf SV/SL (62 kW-hr battery pack)Automatic (A1),12,45800.0
Ford Mustang Mach-E RWDAutomatic (A1),1,10520.0
Ford Mustang Mach-E RWDAutomatic (A1),2,21040.0
Ford Mustang Mach-E RWDAutomatic (A1),3,31560.0
Ford Mustang Mach-E RWDAutomatic (A1),4,42080.0
Ford Mustang Mach-E RWDAutomatic (A1),5,52600.0
Ford Mustang Mach-E RWDAutomatic (A1),6,53300.0
Ford Mustang Mach-E RWDAutomatic (A1),7,54000.0
Ford Mustang Mach-E RWDAutomatic (A1),8,54700.0
Ford Mustang Mach-E RWDAutomatic (A1),9,55400.0
Ford Mustang Mach-E RWDAutomatic (A1),10,56100.0
Ford Mustang Mach-E RWDAutomatic (A1),11,56800.0
Ford Mustang Mach-E RWDAutomatic (A1),12,57500.0
Volkswagen ID.4 Pro SAutomatic (A1),1,9846.0
Volkswagen ID.4 Pro SAutomatic (A1),2,19692.0
Volkswagen ID.4 Pro SAutomatic (A1),3,29538.0
Volkswagen ID.4 Pro SAutomatic (A1),4,39384.0
Volkswagen ID.4 Pro SAutomatic (A1),5,49230.0
Volkswagen ID.4 Pro SAutomatic (A1),6,49930.0
Volkswagen ID.4 Pro SAutomatic (A1),7,50630.0
Volkswagen ID.4 Pro SAutomatic (A1),8,51330.0
Volkswagen ID.4 Pro SAutomatic (A1),9,52030.0
Volkswagen ID.4 Pro SAutomatic (A1),10,52730.0
Volkswagen ID.4 Pro SAutomatic (A1),11,53430.0
Volkswagen ID.4 Pro SAutomatic (A1),12,54130.0
Tesla Model XAutomatic (A1),1,24898.0
Tesla Model XAutomatic (A1),2,49796.0
Tesla Model XAutomatic (A1),3,74694.0
Tesla Model XAutomatic (A1),4,99592.0
Tesla Model XAutomatic (A1),5,124490.0
Tesla Model XAutomatic (A1),6,125190.0
Tesla Model XAutomatic (A1),7,125890.0
Tesla Model XAutomatic (A1),8,126590.0
Tesla Model XAutomatic (A1),9,127290.0
Tesla Model XAutomatic (A1),10,127990.0
Tesla Model XAutomatic (A1),11,128690.0
Tesla Model XAutomatic (A1),12,129390.0
Ford Mustang Mach-E CAL RT 1 ER RWDAutomatic (A1),1,11255.0
Ford Mustang Mach-E CAL RT 1 ER RWDAutomatic (A1),2,22510.0
Ford Mustang Mach-E CAL RT 1 ER RWDAutomatic (A1),3,33765.0
Ford Mustang Mach-E CAL RT 1 ER RWDAutomatic (A1),4,45020.0
Ford Mustang Mach-E CAL RT 1 ER RWDAutomatic (A1),5,56275.0
Ford Mustang Mach-E CAL RT 1 ER RWDAutomatic (A1),6,56975.0
Ford Mustang Mach-E CAL RT 1 ER RWDAutomatic (A1),7,57675.0
Ford Mustang Mach-E CAL RT 1 ER RWDAutomatic (A1),8,58375.0
Ford Mustang Mach-E CAL RT 1 ER RWDAutomatic (A1),9,59075.0
Ford Mustang Mach-E CAL RT 1 ER RWDAutomatic (A1),10,59775.0
